y MPG.city MPG.highway EngineSize Horsepower RPM Rev.per.mile Fuel.tank.capacity Passengers Length Wheelbase Width Turn.circle Weight
15.9 25 31 1.8 140 6300 2890 13.2 5 177 102 68 37 2705
33.9 18 25 3.2 200 5500 2335 18 5 195 115 71 38 3560
29.1 20 26 2.8 172 5500 2280 16.9 5 180 102 67 37 3375
37.7 19 26 2.8 172 5500 2535 21.1 6 193 106 70 37 3405
30 22 30 3.5 208 5700 2545 21.1 4 186 109 69 39 3640
15.7 22 31 2.2 110 5200 2565 16.4 6 189 105 69 41 2880
20.8 19 28 3.8 170 4800 1570 18 6 200 111 74 42 3470
23.7 16 25 5.7 180 4000 1320 23 6 216 116 78 45 4105
26.3 19 27 3.8 170 4800 1690 18.8 5 198 108 73 41 3495
34.7 16 25 4.9 200 4100 1510 18 6 206 114 73 43 3620
40.1 16 25 4.6 295 6000 1985 20 5 204 111 74 44 3935
13.4 25 36 2.2 110 5200 2380 15.2 5 182 101 66 38 2490
11.4 25 34 2.2 110 5200 2665 15.6 5 184 103 68 39 2785
15.1 19 28 3.4 160 4600 1805 15.5 4 193 101 74 43 3240
15.9 21 29 2.2 110 5200 2595 16.5 6 198 108 71 40 3195
16.3 18 23 3.8 170 4800 1690 20 7 178 110 74 44 3715
16.6 15 20 4.3 165 4000 1790 27 8 194 111 78 42 4025
18.8 17 26 5 170 4200 1350 23 6 214 116 77 42 3910
38 17 25 5.7 300 5000 1450 20 2 179 96 74 43 3380
18.4 20 28 3.3 153 5300 1990 18 6 203 113 74 40 3515
15.8 23 28 3 141 5000 2090 16 6 183 104 68 41 3085
29.5 20 26 3.3 147 4800 1785 16 6 203 110 69 44 3570
9.2 29 33 1.5 92 6000 3285 13.2 5 174 98 66 32 2270
11.3 23 29 2.2 93 4800 2595 14 5 172 97 67 38 2670
13.3 22 27 2.5 100 4800 2535 16 6 181 104 68 39 2970
19 17 21 3 142 5000 1970 20 7 175 112 72 42 3705
15.6 21 27 2.5 100 4800 2465 16 6 192 105 69 42 3080
25.8 18 24 3 300 6000 2120 19.8 4 180 97 72 40 3805
12.2 29 33 1.5 92 6000 2505 13.2 5 174 98 66 36 2295
19.3 20 28 3.5 214 5800 1980 18 6 202 113 74 40 3490
7.4 31 33 1.3 63 5000 3150 10 4 141 90 63 33 1845
10.1 23 30 1.8 127 6500 2410 13.2 5 171 98 67 36 2530
11.3 22 27 2.3 96 4200 2805 15.9 5 177 100 68 39 2690
15.9 22 29 2.3 105 4600 2285 15.4 4 180 101 68 40 2850
14 24 30 2 115 5500 2340 15.5 4 179 103 70 38 2710
19.9 15 20 3 145 4800 2080 21 7 176 119 72 45 3735
20.2 21 30 3 140 4800 1885 16 5 192 106 71 40 3325
20.9 18 26 4.6 190 4200 1415 20 6 212 114 78 43 3950
8.4 46 50 1 55 5700 3755 10.6 4 151 93 63 34 1695
