waiting pduration
71 4.0166667
57 2.15
80 4
75 4
77 4
60 2
86 4.3833333
77 4.2833333
56 2.0333333
81 4.8333333
50 1.8333333
89 5.45
54 1.6166667
90 4.8666667
73 4.3833333
60 1.7666667
83 4.6666667
65 2
82 4.7333333
84 4.2166667
54 1.9
85 4.9666667
58 2
79 4
57 2
88 4
68 2.8333333
76 4.5
78 4.0666667
74 3.7166667
85 3.5166667
75 4.4666667
65 2.2166667
76 4.8833333
58 2.6
91 4.15
50 2.2
87 4.7666667
48 1.8333333
93 4.6
54 2.2666667
86 4.1333333
53 2
78 4
52 2
83 4
60 1.8833333
87 4.2666667
49 2.0833333
80 4.4666667
60 2.5
92 4
43 1.7666667
89 4.3333333
60 2.1833333
84 4.4833333
69 3.8833333
74 3.3333333
71 3.7333333
108 4
50 1.95
77 5.2666667
57 2
80 4
61 2
82 4
48 2
81 4
73 3.5333333
62 2.1666667
79 4.5
54 2.0166667
80 4.15
73 4.2
81 4.3333333
62 1.9333333
81 4.65
71 3.8166667
79 4.0333333
81 4.1666667
74 4.6666667
59 1.8166667
81 4
66 3
87 4
53 2
80 4.45
50 2.05
87 4.25
51 1.9166667
82 4.6666667
58 1.7333333
81 4.3833333
49 1.7666667
92 4.6
50 1.8666667
88 4.45
62 1.6333333
93 5.0333333
56 1.8166667
89 5.1
51 1.6333333
79 4.2833333
58 2
82 4
52 2
88 4.5333333
52 2
78 4
69 2.9333333
75 4.7333333
77 3.9
53 1.95
80 4.1166667
55 1.8
87 4.6666667
53 1.8333333
85 4.7
61 2.1166667
93 4.7833333
54 1.8166667
76 4.1
80 4.65
81 4
59 2
86 4
78 4
71 4.2166667
77 4.1333333
76 3.9333333
94 3.75
75 4.4166667
50 2.4666667
83 4.1666667
82 3.8
72 4.3166667
77 3.8666667
75 4.6833333
65 1.7
79 4.9666667
72 4.2666667
78 4.5833333
77 4
79 4
75 4
78 4
64 1.9833333
80 4.6
49 0.8333333
88 4.9166667
54 1.7333333
85 4.5833333
51 1.7
96 4.75
50 1.8333333
80 4.5
78 1.8666667
81 4.45
72 4.45
75 4
78 4.8
87 4
69 4
55 2
83 4
49 1.9333333
82 4.5833333
57 2
84 3.7
57 2.8666667
84 4.8333333
73 3.45
78 4.3833333
57 1.8
79 4.4
57 2.4833333
90 4.5166667
62 2.1
87 4.35
78 4.3666667
52 1.7833333
98 4.9166667
48 1.8166667
78 4
79 4
65 4
84 3.8666667
50 1.85
83 4.7
60 2.0166667
80 4.4666667
50 1.8666667
88 4.1666667
50 1.9
84 4.25
74 3.25
76 4.2166667
65 1.8833333
89 4.9833333
49 1.85
88 4
51 1.9666667
78 4.7666667
85 4
65 2
75 4
77 4
69 2.3833333
92 4.4166667
68 4.2166667
87 4.3666667
61 2
81 4.45
55 1.75
93 4.5
53 1.6166667
84 4.7
70 2.5666667
73 3.7
93 4.2333333
50 1.9333333
87 4.35
77 4
74 4
72 4
82 4.2166667
74 4
80 4.1333333
49 1.8833333
91 4.4666667
53 1.95
86 4.2166667
49 1.7166667
79 4.45
89 4.25
87 3.9666667
76 4.3833333
59 1.9666667
80 4.45
89 4.2666667
45 1.9166667
93 4.4166667
72 3
71 4
54 2
79 4
74 3.2833333
65 1.8333333
78 4.6166667
57 1.8333333
87 4.6166667
72 4.6
84 4.25
47 1.9333333
84 4.9833333
57 1.9666667
87 4.3
68 4.2
86 4.5333333
75 4.4
73 4.6166667
53 2
82 4
93 4
77 3.9166667
54 2
96 4.5
48 1.8
89 4
63 2.75
84 4.7333333
76 3.9666667
62 1.95
83 4.9666667
50 1.85
85 4.8
78 4
78 4
81 4
78 4
76 4
74 4
81 4
66 2
84 4
48 1.9333333
93 4.3333333
47 1.6666667
87 4.7666667
51 1.95
78 4.6833333
54 1.9333333
87 4.4166667
52 2.1333333
85 4.0833333
58 2.0666667
88 4
79 4
