index par epar mag
1 3.54 1.39 9.13
2 21.9 3.1 9.378
3 2.81 0.63 6.621
4 7.75 0.97 8.092
5 2.87 1.11 8.656
6 18.8 4.99 NA
7 17.74 1.3 9.679
8 5.17 1.95 9.151
9 4.81 0.99 8.711
10 10.76 1.1 8.63
11 4.29 0.84 7.364
12 4.06 1.16 8.588
13 3.49 1.48 8.887
14 5.11 0.99 7.396
15 2.45 1.16 8.739
16 6.15 1 8.187
17 0.53 2.63 NA
18 19.93 2.36 NA
19 4.12 0.64 6.63
20 10.76 1.06 8.549
21 5.84 0.95 7.689
22 4.47 1.15 8.803
23 12.21 0.95 7.606
24 9.73 1.21 9.103
25 13.74 0.98 6.375
26 9.19 1.34 9.179
27 9.66 1.38 9.389
28 5.64 1.05 8.892
29 2.85 1.4 9.284
30 3.79 0.88 8.266
31 1.84 1.05 7.791
32 3.1 1.29 9.07
33 8.94 1.09 8.152
34 12.71 0.74 6.491
35 5.96 1.45 9.181
36 6.3 0.96 7.801
37 3.74 2.72 10.457
38 23.84 0.78 8.723
39 10.98 1.18 7.493
40 3.42 1.04 8.676
41 -3.4 4.25 NA
42 6.38 0.91 8.238
43 7.63 0.6 6.29
44 2.41 1.01 8.048
45 15.1 1.92 9.808
46 1.19 1.2 8.69
47 24.45 1.97 10.909
48 1.86 0.87 7.438
49 1.59 1.28 9.575
50 16.89 0.8 6.579
51 0.41 1.3 9.039
52 3.95 0.77 8.595
53 -1.76 2.45 NA
54 20.97 1.71 10.679
55 14.66 0.98 7.381
56 3.47 1.27 8.276
57 33.89 0.79 8.353
58 26.06 0.67 7.11
59 -0.06 1.38 9.125
60 6.18 0.83 8.381
61 5.6 1.11 9.006
62 5.28 1.15 8.387
63 4.81 0.71 6.348
64 3.45 0.94 8.202
65 16.98 2.43 10.953
66 8.18 0.88 8.587
67 7.48 0.93 7.875
68 31.8 1.17 8.903
69 6.35 1.12 8.335
70 5.25 13.87 10.377
71 9.13 1.84 8.357
72 10.63 1.25 9.057
73 3.97 0.69 7.054
