G,AG,dist,mass,radius,lum,MG,teff,logg,met
15,4.043,6709.1863,1.026,81.227,3.272,-3.177,4188.407,0.667,-1.876
15,0.048,5146.7367,1.449,6.367,1.364,1.395,4987.909,2.956,-0.353
15,1.588,123.5779,0.476,0.39,-1.217,7.952,4561.846,4.908,-2.226
15,1.363,1481.529,1.216,1.285,0.786,2.784,7962.717,4.283,-1.406
15,3.235,19144.4751,6.171,73.359,3.721,-4.645,5709.189,1.476,-1.076
15,0.814,86466.0627,8.463,154.362,4.108,-5.498,4916.204,0.987,0.257
15,0.373,193568.66,12.659,290.089,4.641,-6.807,4875.671,0.611,-0.556
15,0.292,1964.2061,1.184,2.035,0.573,3.242,5597.035,3.875,0.043
15,3.221,10156.6406,4.669,28.779,3.149,-3.255,6557.888,2.19,-0.221
15,0.912,63146.1473,7.34,117.103,3.871,-4.914,4923.975,1.179,0.039
15,1.337,22639.5228,4.751,35.551,3.105,-3.111,5752.746,1.987,-0.105
15,3.66,2285.792,2.244,12.679,2.074,-0.455,5321.87,2.566,-0.72
15,1.881,944.6509,1.251,1.061,0.605,3.243,7895.294,4.476,-1.357
15,6.163,3625.0367,5.409,73.298,3.493,-3.96,5007.866,1.439,-1.508
15,1.948,6958.8668,2.803,14.731,2.343,-1.161,5763.448,2.531,-0.947
15,0.476,2204.5682,0.91,2.248,0.779,2.807,5996.518,3.662,-1.794
15,4.867,11138.9998,6.944,72.089,3.889,-5.102,6344.036,1.52,-0.358
15,0.797,13774.9344,3,17.882,2.472,-1.492,5633.65,2.402,-0.625
15,3.096,33020.9261,9.147,220.455,4.254,-5.69,4474.455,0.688,0.108
15,0.736,2000.9298,1.029,1.582,0.792,2.758,7198.612,4.061,-1.713
15,1.014,3588.0871,1.693,2.748,1.394,1.212,7728.542,3.764,-0.954
15,4.835,602.8873,1.553,4.263,1.38,1.264,6153.556,3.269,-1.331
15,1.06,1700.505,0.856,2.058,0.796,2.787,6327.71,3.754,-2.559
15,5.819,175.7298,1.341,1.283,0.701,2.957,7587.954,4.319,-0.5
15,5.658,8349.8218,8.35,60.697,3.944,-5.267,7135.368,1.641,0.154
15,4.558,221.987,1.049,1.078,0.411,3.71,7002.475,4.375,-1.309
15,1.211,89703.677,7.78,346.578,4.455,-5.975,4005.895,0.245,-0.971
15,0.282,10729.3745,2.638,8.242,2.035,-0.434,6454.885,2.957,-0.325
15,1.043,65262.4214,4.479,232.695,4.135,-5.116,4068.242,0.274,-1.115
15,2.06,749.9206,1.03,1.038,0.48,3.565,7429.585,4.378,-1.883
15,0.374,155153.6325,10.649,204.96,4.425,-6.328,5122.309,0.803,-0.239
15,2.147,31305.121,7.081,38.217,3.704,-4.625,7830.179,2.117,0.097
15,0.102,1477.9768,0.917,1.057,0.27,4.05,6525.284,4.331,-1.228
15,2.848,25950.009,6.47,65.912,3.829,-4.919,6409.385,1.674,-1.712
15,0.073,6770.8466,2.333,8.667,1.631,0.774,4987.193,2.873,0.279
15,0.549,176.8379,0.422,0.371,-1.33,8.213,4384.85,4.895,-1.978
15,2.345,1086.957,1.654,3.448,0.906,2.474,5208.566,3.579,0.269
15,3.077,5525.1906,2.906,18.55,2.599,-1.788,5951.486,2.321,-1.796
15,0.195,224.6326,0.579,0.473,-1.164,8.048,4273.641,4.881,-0.088
15,0.006,11354.7626,2.141,5.264,1.999,-0.282,7911.56,3.337,-1.644
15,6.528,683.1619,2.376,14.359,2.174,-0.7,5294.649,2.497,-0.736
15,5.181,188.1105,1.043,1.058,0.528,3.447,7563.945,4.375,-1.845
15,0.177,264004.8985,16.958,477.374,4.913,-7.285,4444.991,0.275,-0.826
15,2.365,741.5602,0.879,2.358,0.577,3.284,5211.035,3.679,-1.209
15,0.016,4935.8286,1.611,2.466,1.271,1.518,7599.197,3.853,-0.934
15,0.095,1946.7624,0.969,1.307,0.507,3.458,6724.09,4.176,-1.321
15,1.696,15673.2763,3.911,25.977,2.927,-2.672,6074.454,2.186,-0.496
15,4.338,522.3816,1.186,2.099,1.062,2.072,7302.442,3.87,-1.613
15,0.651,101712.2319,8.243,120.891,4.145,-5.688,5674.17,1.133,-1.085
15,3.588,1328.9294,1.789,7.419,1.575,0.794,5218.421,2.96,-0.976
15,2.128,24959.8809,5.235,43.199,3.505,-4.114,6568.445,1.837,-1.444
15,0.327,2050.1595,1.312,1.721,0.613,3.114,6230.083,4.066,-0.022
15,4.614,42819.6912,17.409,379.718,4.986,-7.772,5197.201,0.522,-0.145
15,0.429,5711.6514,2.165,5.927,1.556,0.787,5773.937,3.222,-0.138
15,1.652,1211.2817,1.088,1.898,0.702,2.932,6242.228,3.884,-0.564
15,0.746,168.3934,0.457,0.4,-1.273,8.123,4360.375,4.858,-2.481
15,1.39,613.3468,1.075,0.966,-0.002,4.671,5833.319,4.484,0.053
15,0.566,1154.2723,0.976,1.441,0.225,4.122,5443.352,4.128,0.114
15,0.159,2934.2718,1.478,2.913,0.869,2.503,5548.273,3.667,0.104
15,1.578,1768.0563,1.028,2.107,1.028,2.185,7147.66,3.651,-2.577
15,4.604,3904.8593,0.864,45.084,2.976,-2.562,4743.406,1.121,-2.644
15,6.854,111.2874,1.243,1.272,0.728,2.914,7738.31,4.305,-1.161
15,4.576,1311.9191,2.245,5.323,1.937,-0.166,7588.195,3.305,-0.658
15,0.581,431.1966,0.685,0.552,-0.595,6.245,5483.241,4.778,-1.797
15,2.35,9624.071,3.501,32.7,2.815,-2.266,5076.075,1.927,-1.454
15,4.129,33417.2946,11.546,291.667,4.617,-6.748,4794.645,0.621,-1.657
15,4.339,137.4775,0.944,0.811,-0.111,4.97,5981.793,4.618,-0.437
15,1.012,10310.5804,1.318,18.708,2.348,-1.078,5128.444,1.979,-2.101
15,0.144,3928.2035,1.802,2.024,1.107,1.885,7631.054,4.067,0.11
15,0.715,970.3327,0.865,1.025,0.141,4.35,6150.846,4.335,-0.696
15,0.041,140304.763,9.994,257.624,4.321,-5.776,4302.364,0.612,-0.805
15,1.691,523.7357,0.917,0.756,0.031,4.713,6724.554,4.689,-2.293
15,1.474,1409.2317,0.835,2.443,0.795,2.781,5806.286,3.591,-2.312
15,3.403,728.2962,1.703,1.653,0.95,2.285,7717.246,4.216,0.101
15,0.062,115252.8201,7.841,108.825,4.022,-5.37,5573.61,1.205,-0.23
15,0.708,76990.962,7.565,123.804,3.954,-5.14,5023.799,1.104,-0.231
15,0.312,810.5006,0.846,0.699,-0.148,5.145,6307.943,4.665,-2.099
15,3.134,485.5157,1.23,1.103,0.516,3.435,7357.676,4.688,-1.089
15,0.15,139561.1364,8.585,122.331,4.215,-5.874,5876.68,1.213,-1.112
15,2.726,1937.4715,1.697,3.122,1.549,0.838,7927.02,3.63,-1.264
15,1.309,84816.9384,9.083,216.041,4.32,-5.952,4694.957,0.723,-1.401
15,2.233,953.5671,0.969,1.855,0.744,2.87,6470.632,3.874,-1.506
15,0.105,8446.4792,2.379,4.171,1.758,0.262,7731.498,3.51,-0.097
15,0.542,238.424,0.541,0.519,-1.063,7.571,4320.19,4.715,-0.703
15,2.627,3340.2233,2.347,5.434,1.968,-0.246,7644.688,3.343,-0.777
15,6.216,768.0509,0.851,17.261,2.183,-0.642,4854.708,1.914,-1.796
15,3.882,28332.183,9.858,184.034,4.367,-6.143,5226.982,0.807,-0.732
15,0.4,9424.0007,2.854,9.716,1.976,-0.271,5744.654,2.864,0.018
15,3.825,6309.4993,4.088,23.47,2.98,-2.825,6587.807,2.296,-0.442
15,1.467,1067.9906,0.954,1.254,0.542,3.39,7002.898,4.189,-1.625
15,6.626,223.0818,1.429,3.299,1.227,1.632,6403.23,3.554,-1.095
15,3.979,76158.8086,22.264,407.055,5.206,-8.388,5696.047,0.554,-0.325
15,0.635,47337.2685,5.263,51.561,3.475,-4.012,5910.729,1.705,-1.238
15,0.665,2669.6964,1.297,2.659,0.996,2.202,6246.201,3.683,-0.909
15,2.189,153.02,0.642,0.535,-0.815,6.887,4908.349,4.887,-1.069
15,2.568,1558.0956,1.612,2.73,1.287,1.469,7291.383,3.701,-0.955
15,5.011,176.8438,1.112,1.02,0.397,3.751,7146.515,4.453,-1.382
